rank,char_trad,char_simp,count
1,的,,19612774
2,是,,10906495
3,一,,9206925
4,不,,8654427
5,我,,7184509
6,有,,5943526
7,個,个,5420669
8,這,这,4660570
9,人,,4629727
10,在,,4378562
11,了,,3992549
12,就,,3939296
13,你,,3270508
14,大,,3265812
15,要,,2833879
16,以,,2801477
17,來,来,2733175
18,為,为,2681814
19,上,,2664888
20,都,,2628003
21,時,时,2515550
22,也,,2502670
23,到,,2494292
24,說,说,2347011
25,自,,2323204
26,能,,2314264
27,沒,没,2298066
28,可,,2226924
29,看,,2225777
30,很,,2211122
31,會,会,2210387
32,他,,2195339
33,么,,2180962
34,麼,么,2180962
35,多,,2119344
36,和,,2074657
37,好,,2071856
38,學,学,2007249
39,還,还,1959975
40,中,,1890003
41,對,对,1858516
42,得,,1843323
43,后,,1839617
44,後,后,1839617
45,過,过,1786093
46,們,们,1778116
47,那,,1748111
48,生,,1688347
49,國,国,1672154
50,出,,1629530
51,齣,出,1629530
52,下,,1620745
53,然,,1582793
54,家,,1520836
55,傢,家,1520836
56,年,,1514514
57,如,,1494400
58,小,,1453425
59,問,问,1440164
60,想,,1439226
61,本,,1417961
62,但,,1394613
63,而,,1358276
64,用,,1356481
65,最,,1337701
66,去,,1337547
67,于,,1316988
68,於,于,1316988
69,所,,1306998
70,實,实,1299571
71,子,,1296533
72,己,,1284362
73,現,现,1270098
74,天,,1265487
75,里,,1238051
76,裡,里,1238051
77,之,,1236622
78,什,,1228372
79,發,发,1220450
80,髮,发,1220450
81,經,经,1219164
82,只,,1212525
83,隻,只,1212525
84,分,,1207825
85,比,,1195120
86,其,,1150515
87,前,,1147284
88,面,,1142974
89,麵,面,1142974
90,當,当,1137770
91,噹,当,1137770
92,開,开,1124168
93,主,,1123676
94,因,,1115140
95,成,,1112840
96,種,种,1087486
97,作,,1086340
98,地,,1082628
99,方,,1082220
100,心,,1052757
101,點,点,1036364
102,覺,觉,1021478
103,做,,1012317
104,些,,1010282
105,真,,1003504
106,果,,997118
107,高,,987300
108,回,,958027
109,迴,回,958027
110,答,,956582
111,無,无,949881
112,知,,949167
113,事,,944850
114,題,题,943843
115,同,,934499
116,理,,927206
117,道,,913002
118,定,,901006
119,感,,878477
120,樣,样,866446
121,被,,848309
122,女,,848132
123,几,,839464
124,幾,几,839464
125,情,,837129
126,意,,835849
127,業,业,835612
128,起,,833965
129,從,从,833681
130,老,,828887
131,行,,824601
132,別,别,818386
133,彆,别,818386
134,給,给,800040
135,兩,两,794933
136,手,,780963
137,體,体,768379
138,三,,767924
139,更,,757131
140,工,,755944
141,關,关,741711
142,文,,737933
143,常,,734907
144,法,,728136
145,第,,727290
146,正,,726504
147,她,,725404
148,公,,714734
149,者,,709323
150,動,动,707619
151,打,,700668
152,性,,699808
153,相,,699139
154,身,,696676
155,全,,694779
156,直,,694653
157,機,机,688929
158,候,,686866
159,力,,678520
160,把,,676618
161,次,,674423
162,太,,669999
163,美,,665219
164,部,,665035
165,明,,664735
166,間,间,643792
167,重,,634193
168,電,电,627209
169,讓,让,625144
170,先,,617817
171,內,内,612905
172,外,,611015
173,長,长,597350
174,應,应,588725
175,度,,581540
176,男,,576689
177,新,,574464
178,再,,573231
179,喜,,567429
180,或,,562619
181,每,,561355
182,數,数,559955
183,愛,爱,556934
184,基,,552568
185,友,,550476
186,認,认,549466
187,進,进,547994
188,考,,546182
189,原,,544394
190,完,,543918
191,少,,542145
192,并,,540076
193,並,并,540076
194,併,并,540076
195,日,,538194
196,接,,530470
197,合,,529928
198,閤,合,529928
199,加,,528874
200,解,,527279
201,結,结,523254
202,等,,522325
203,二,,520453
204,已,,519688
205,非,,519568
206,特,,518628
207,話,话,515158
208,歡,欢,502967
209,又,,500491
210,論,论,498640
211,社,,497721
212,吃,,497143
213,東,东,495526
214,提,,494388
215,名,,489829
216,通,,487679
217,算,,484394
218,才,,483812
219,信,,483401
220,平,,475465
